open;close;high;low;value;volume;begin;end;trend_hp_14400;cycle_hp;cycle_hp_ma10
100.2;98.91;100.31;98.62;3154470383.9;31691800;2014-01-06;2014-01-06 23:59:59;102.17281804543933;-3.2628180454393316;
99.1;98.19;99.41;97.85;4179938515.5;42372290;2014-01-08;2014-01-08 23:59:59;101.90736474623706;-3.7173647462370667;
98.44;98.0;98.77;97.69;4518388781.2;45986900;2014-01-09;2014-01-09 23:59:59;101.64168486244827;-3.6416848624482725;
97.87;99.2;99.41;97.52;5109679480.9;51902400;2014-01-10;2014-01-10 23:59:59;101.37529365915687;-2.175293659156864;
99.3;100.25;100.35;99.04;6191507238.7;62051250;2014-01-13;2014-01-13 23:59:59;101.10745350666465;-0.8574535066646547;
99.18;99.24;99.73;98.51;7781261285.6;78485160;2014-01-14;2014-01-14 23:59:59;100.83727571321376;-1.5972757132137616;
99.95;100.77;100.79;99.56;7807555438.7;77839370;2014-01-15;2014-01-15 23:59:59;100.56381204166391;0.20618795833608772;
100.9;100.65;101.64;100.53;6342081313.5;62759280;2014-01-16;2014-01-16 23:59:59;100.28600333295037;0.3639966670496335;
100.36;101.17;101.45;100.1;6976427837.1;69135170;2014-01-17;2014-01-17 23:59:59;100.0028047466166;1.1671952533833974;
100.99;101.96;102.17;100.66;6337126441.7;62429420;2014-01-20;2014-01-20 23:59:59;99.7131967197524;2.2468032802475904;-1.1267707374143243
102.5;102.2;102.57;101.9;6340162289.1;61991430;2014-01-21;2014-01-21 23:59:59;99.41624074467346;2.783759255326544;-0.5221130073377367
102.21;102.17;102.49;101.13;5962256453.3;58589100;2014-01-22;2014-01-22 23:59:59;99.11115434170102;3.058845658298978;0.15550803311586775
101.81;101.7;102.92;101.56;7229344462.4;70600710;2014-01-23;2014-01-23 23:59:59;98.79734834777129;2.9026516522287125;0.8099416845835663
100.99;99.7;101.26;99.63;11328433229.4;112821700;2014-01-24;2014-01-24 23:59:59;98.47444601965782;1.225553980342184;1.150026448533471
98.62;97.78;99.11;97.63;10205265742.8;103793450;2014-01-27;2014-01-27 23:59:59;98.14227218716566;-0.362272187165658;1.1995445804833706
98.21;97.36;98.74;97.05;7879197170.2;80448950;2014-01-28;2014-01-28 23:59:59;97.80073678801513;-0.44073678801512983;1.315198473003234
97.93;95.98;98.98;95.73;11798207834.2;120814560;2014-01-29;2014-01-29 23:59:59;97.4497246021357;-1.4697246021356989;1.1476072169560552
96.1;95.8;96.69;94.4;12465984799.6;130498640;2014-01-30;2014-01-30 23:59:59;97.08908980273546;-1.289089802735461;0.9822985699775458
95.8;94.7;96.27;94.43;9826064290.3;103047610;2014-01-31;2014-01-31 23:59:59;96.71858449881394;-2.0185844988139365;0.6637205947578124
94.95;94.66;95.89;94.55;7762450691.6;81505780;2014-02-03;2014-02-03 23:59:59;96.33787127924545;-1.6778712792454513;0.27125313880850827
93.55;94.07;94.48;93.25;8816982226.2;93931280;2014-02-04;2014-02-04 23:59:59;95.94647255342527;-1.8764725534252733;-0.19477004206667345
94.31;95.45;95.65;94.01;8614557954.1;90666210;2014-02-05;2014-02-05 23:59:59;95.54379421190981;-0.09379421190980963;-0.5100340290875522
95.78;96.62;96.81;95.65;7316925270.3;76095210;2014-02-06;2014-02-06 23:59:59;95.12911183466153;1.4908881653384753;-0.6512103777765759
97.0;96.53;97.36;96.11;7520576896.1;77654990;2014-02-07;2014-02-07 23:59:59;94.70169448815591;1.8283055118440927;-0.590935224626385
96.94;95.47;97.08;95.42;6527070792.2;67771880;2014-02-10;2014-02-10 23:59:59;94.26091477276887;1.209085227231128;-0.4337994831867064
95.97;96.12;96.65;95.51;5293672847.6;55103910;2014-02-11;2014-02-11 23:59:59;93.8062722545369;2.3137277454630976;-0.1583530298388837
96.91;96.84;97.14;96.15;6836550789.2;70670070;2014-02-12;2014-02-12 23:59:59;93.33735046374831;3.5026495362516954;0.33888438399985576
96.3;95.5;96.69;95.3;5971881712.3;62181740;2014-02-13;2014-02-13 23:59:59;92.85389360622929;2.646106393770708;0.7324040036504726
95.8;96.65;96.84;95.7;6152005931.6;63884790;2014-02-14;2014-02-14 23:59:59;92.35588912735722;4.29411087264279;1.3636735407961453
97.1;97.49;98.08;97.09;5342634607.5;54738670;2014-02-17;2014-02-17 23:59:59;91.84350822989794;5.64649177010206;2.096109845730896
97.5;96.62;97.95;96.55;5521845072.9;56765130;2014-02-18;2014-02-18 23:59:59;91.31722031876123;5.302779681238775;2.8140350691973013
96.51;94.9;96.59;94.53;7585763995.6;79367620;2014-02-19;2014-02-19 23:59:59;90.77788691634089;4.122113083659116;3.2356257987541936
94.1;94.63;94.76;93.61;6803693880.4;72263740;2014-02-20;2014-02-20 23:59:59;90.22673779361973;4.403262206380262;3.5268632028583724
95.02;95.0;95.44;94.51;4957617662.0;52205040;2014-02-21;2014-02-21 23:59:59;89.66528897943356;5.334711020566445;3.8775037537306076
95.0;94.69;95.09;94.06;4560183217.6;48226210;2014-02-24;2014-02-24 23:59:59;89.09536228471579;5.5946377152842075;4.316059002535916
95.37;94.17;95.48;93.32;7028565285.6;74634340;2014-02-25;2014-02-25 23:59:59;88.519149986443;5.650850013557005;4.649771229345307
94.28;92.29;94.59;91.85;8447503248.6;90720380;2014-02-26;2014-02-26 23:59:59;87.9392328780997;4.350767121900304;4.7345829879101675
92.5;90.12;92.61;89.4;11709164763.3;129290620;2014-02-27;2014-02-27 23:59:59;87.35858417331023;2.7614158266897704;4.746113931202073
90.15;91.16;91.42;88.87;10176591958.5;112780920;2014-02-28;2014-02-28 23:59:59;86.78047922230465;4.3795207776953475;4.7546549217073295
85.5;77.57;86.84;74.96;33834631494.3;427913510;2014-03-03;2014-03-03 23:59:59;86.20838514030096;-8.638385140300969;3.3261672306670262
78.5;81.55;83.9;77.17;30132920508.4;371921710;2014-03-04;2014-03-04 23:59:59;85.64607317590455;-4.09607317590455;2.3862819449526937
82.37;81.46;82.77;80.12;14261760259.2;175284130;2014-03-05;2014-03-05 23:59:59;85.0967146898638;-3.6367146898638083;1.6103991676004015
81.63;80.24;83.81;76.56;22663770504.0;281937510;2014-03-06;2014-03-06 23:59:59;84.56319659340102;-4.323196593401022;0.737753287622273
