window_start;window_end;signal_day;current_symbol;predicted_symbol;signal;chosen_rule;rule_support;rule_confidence;rule_lift;open;close;ret_oc;strategy_ret;equity_curve
2014-01-20;2015-01-20;2015-01-21;c;d;BUY;c->d;0.03187250996015936;0.2;0.7171428571428572;61.08;62.8;0.02815979043876881;0.02815979043876881;1.0281597904387687
2014-01-21;2015-01-21;2015-01-22;c;c;HOLD;c->c;0.10756972111553785;0.6585365853658537;4.031528851873885;63.06;64.35;0.020456707897240595;0.0;1.0281597904387687
2014-01-22;2015-01-22;2015-01-23;c;c;HOLD;c->c;0.10756972111553785;0.6585365853658537;4.031528851873885;64.99;64.45;-0.008308970610863088;0.0;1.0281597904387687
2014-01-23;2015-01-23;2015-01-26;c;c;HOLD;c->c;0.11155378486055777;0.6829268292682927;4.08130081300813;63.79;60.49;-0.05173224643361024;0.0;1.0281597904387687
2014-01-24;2015-01-26;2015-01-27;c;c;HOLD;c->c;0.11553784860557768;0.6904761904761905;4.030454042081949;58.2;61.2;0.05154639175257732;0.0;1.0281597904387687
2014-01-27;2015-01-27;2015-01-28;c;c;HOLD;c->c;0.12350597609561753;0.7209302325581395;4.112579281183932;61.81;60.63;-0.019090762012619313;0.0;1.0281597904387687
2014-01-28;2015-01-28;2015-01-29;c;c;HOLD;c->c;0.11952191235059761;0.6976744186046512;3.979915433403806;60.4;60.5;0.0016556291390728713;0.0;1.0281597904387687
2014-01-29;2015-01-29;2015-01-30;c;c;HOLD;c->c;0.12350597609561753;0.7045454545454546;3.9297979797979794;61.25;61.5;0.004081632653061225;0.0;1.0281597904387687
2014-01-30;2015-01-30;2015-02-02;b;b;HOLD;b->b;0.0796812749003984;0.6666666666666666;5.397849462365591;62.0;61.4;-0.009677419354838733;0.0;1.0281597904387687
2014-01-31;2015-02-02;2015-02-03;b;b;HOLD;b->b;0.08366533864541832;0.6774193548387096;5.313508064516129;62.0;62.0;0.0;0.0;1.0281597904387687
2014-02-03;2015-02-03;2015-02-04;b;b;HOLD;b->b;0.08764940239043825;0.6875;5.229166666666668;62.5;61.04;-0.023360000000000013;0.0;1.0281597904387687
2014-02-04;2015-02-04;2015-02-05;b;b;HOLD;b->b;0.09163346613545817;0.696969696969697;5.145276292335117;60.6;62.41;0.029867986798679788;0.0;1.0281597904387687
2014-02-05;2015-02-05;2015-02-06;a;a;HOLD;a->a;0.19123505976095617;0.9056603773584906;4.209643605870021;62.8;64.31;0.024044585987261228;0.0;1.0281597904387687
2014-02-06;2015-02-06;2015-02-09;a;a;HOLD;a->a;0.1952191235059761;0.9074074074074074;4.141077441077441;64.31;65.57;0.01959259835173365;0.0;1.0281597904387687
2014-02-07;2015-02-09;2015-02-10;a;a;HOLD;a->a;0.199203187250996;0.9090909090909091;4.074675324675324;65.48;65.0;-0.007330482590103909;0.0;1.0281597904387687
2014-02-10;2015-02-10;2015-02-11;a;a;HOLD;a->a;0.199203187250996;0.9090909090909091;4.074675324675324;66.11;65.12;-0.014975041597337693;0.0;1.0281597904387687
2014-02-11;2015-02-11;2015-02-12;b;b;HOLD;b->b;0.09561752988047809;0.6857142857142857;4.780952380952381;66.08;67.21;0.017100484261501143;0.0;1.0281597904387687
2014-02-12;2015-02-12;2015-02-13;b;b;HOLD;b->b;0.09561752988047809;0.6857142857142857;4.780952380952381;68.0;70.6;0.03823529411764698;0.0;1.0281597904387687
2014-02-13;2015-02-13;2015-02-16;b;b;HOLD;b->b;0.099601593625498;0.6944444444444444;4.71096096096096;70.77;70.0;-0.010880316518298658;0.0;1.0281597904387687
2014-02-14;2015-02-16;2015-02-17;c;c;HOLD;c->c;0.09561752988047809;0.6486486486486487;4.2844950213371265;70.25;72.45;0.03131672597864773;0.0;1.0281597904387687
2014-02-17;2015-02-17;2015-02-18;c;c;HOLD;c->c;0.099601593625498;0.6578947368421053;4.234143049932523;73.38;76.4;0.04115562823657687;0.0;1.0281597904387687
2014-02-18;2015-02-18;2015-02-19;d;d;HOLD;d->d;0.20318725099601595;0.8095238095238095;3.1748511904761907;76.0;73.78;-0.029210526315789458;0.0;1.0281597904387687
2014-02-19;2015-02-19;2015-02-20;e;e;HOLD;e->e;0.20717131474103587;0.9122807017543859;4.017236072637735;74.44;74.75;0.00416442772702851;0.0;1.0281597904387687
2014-02-20;2015-02-20;2015-02-24;e;e;HOLD;e->e;0.20717131474103587;0.9122807017543859;4.017236072637735;72.0;73.7;0.023611111111111152;0.0;1.0281597904387687
2014-02-21;2015-02-24;2015-02-25;e;e;HOLD;e->e;0.20717131474103587;0.9122807017543859;4.017236072637735;73.8;74.2;0.005420054200542083;0.0;1.0281597904387687
2014-02-24;2015-02-25;2015-02-26;e;e;HOLD;e->e;0.20717131474103587;0.9122807017543859;4.017236072637735;75.0;75.95;0.012666666666666705;0.0;1.0281597904387687
2014-02-25;2015-02-26;2015-02-27;e;e;HOLD;e->e;0.20318725099601595;0.9107142857142857;4.081951530612246;75.8;75.91;0.0014511873350923409;0.0;1.0281597904387687
2014-02-26;2015-02-27;2015-03-02;e;e;HOLD;e->e;0.20318725099601595;0.9107142857142857;4.081951530612246;76.38;76.2;-0.0023566378633149074;0.0;1.0281597904387687
2014-02-27;2015-03-02;2015-03-03;e;e;HOLD;e->e;0.20318725099601595;0.9107142857142857;4.081951530612246;76.03;75.55;-0.006313297382612179;0.0;1.0281597904387687
2014-02-28;2015-03-03;2015-03-04;e;e;HOLD;e->e;0.20318725099601595;0.9107142857142857;4.081951530612246;75.35;72.31;-0.040345056403450465;0.0;1.0281597904387687
