"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","1,346.50","1,331.00","1,347.00","1,329.00","1.74M","0.94%"
"12/30/2024","1,334.00","1,341.50","1,346.00","1,330.50","4.70M","-0.63%"
"12/27/2024","1,342.50","1,338.00","1,345.00","1,335.50","3.34M","0.22%"
"12/24/2024","1,339.50","1,341.50","1,346.50","1,339.50","1.96M","0.41%"
"12/23/2024","1,334.00","1,319.50","1,338.00","1,317.50","3.70M","1.06%"
"12/20/2024","1,320.00","1,308.50","1,323.50","1,302.50","14.00M","-0.15%"
"12/19/2024","1,322.00","1,327.00","1,333.00","1,315.50","7.85M","-0.90%"
"12/18/2024","1,334.00","1,337.50","1,339.00","1,325.50","6.64M","0.04%"
"12/17/2024","1,333.50","1,303.00","1,345.00","1,301.00","7.82M","1.06%"
"12/16/2024","1,319.50","1,321.50","1,330.00","1,311.00","8.01M","-0.75%"
"12/13/2024","1,329.50","1,333.50","1,335.50","1,322.50","5.50M","-0.34%"
"12/12/2024","1,334.00","1,336.00","1,340.00","1,330.00","6.66M","-0.48%"
"12/11/2024","1,340.50","1,364.00","1,368.00","1,340.00","15.02M","-2.40%"
"12/10/2024","1,373.50","1,385.00","1,398.00","1,373.50","6.02M","-0.69%"
"12/09/2024","1,383.00","1,350.00","1,386.50","1,345.50","7.30M","2.90%"
"12/06/2024","1,344.00","1,343.50","1,355.00","1,338.50","10.90M","0.19%"
"12/05/2024","1,341.50","1,345.50","1,356.00","1,330.00","6.61M","-1.00%"
"12/04/2024","1,355.00","1,366.00","1,366.50","1,347.00","14.44M","-0.95%"
"12/03/2024","1,368.00","1,341.00","1,372.00","1,341.00","7.98M","1.98%"
"12/02/2024","1,341.50","1,335.00","1,345.00","1,332.50","5.01M","0.49%"
"11/29/2024","1,335.00","1,330.00","1,340.00","1,324.50","4.68M","-0.41%"
"11/28/2024","1,340.50","1,342.50","1,346.00","1,331.50","4.24M","-0.26%"
"11/27/2024","1,344.00","1,343.00","1,347.50","1,334.50","4.02M","0.45%"
"11/26/2024","1,338.00","1,348.00","1,351.50","1,337.00","5.80M","-0.63%"
"11/25/2024","1,346.50","1,341.00","1,348.50","1,335.50","12.02M","0.34%"
"11/22/2024","1,342.00","1,325.00","1,342.50","1,319.50","7.50M","2.48%"
"11/21/2024","1,309.50","1,300.00","1,315.00","1,300.00","5.88M","0.73%"
"11/20/2024","1,300.00","1,306.50","1,310.00","1,299.50","15.26M","-0.27%"
"11/19/2024","1,303.50","1,318.50","1,321.50","1,294.50","16.25M","-0.50%"
"11/18/2024","1,310.00","1,312.00","1,319.50","1,299.00","12.02M","0.69%"
"11/15/2024","1,301.00","1,314.00","1,325.50","1,282.50","13.98M","-3.88%"
"11/14/2024","1,353.50","1,353.50","1,364.50","1,343.50","8.67M","-0.62%"
"11/13/2024","1,362.00","1,373.00","1,376.50","1,352.50","12.35M","-0.55%"
"11/12/2024","1,369.50","1,376.00","1,380.00","1,353.00","8.57M","-1.97%"
"11/11/2024","1,397.00","1,385.00","1,407.00","1,381.50","5.62M","1.16%"
"11/08/2024","1,381.00","1,396.00","1,398.50","1,367.00","10.15M","0.07%"
"11/07/2024","1,380.00","1,375.00","1,385.00","1,369.00","8.67M","0.69%"
"11/06/2024","1,370.50","1,391.00","1,415.50","1,368.50","16.24M","-1.51%"
"11/05/2024","1,391.50","1,414.00","1,414.50","1,387.50","4.81M","-1.59%"
"11/04/2024","1,414.00","1,410.50","1,420.50","1,409.00","4.84M","-0.39%"
"11/01/2024","1,419.50","1,414.50","1,435.00","1,409.50","7.25M","1.94%"
"10/31/2024","1,392.50","1,396.50","1,401.50","1,373.00","15.72M","-1.03%"
"10/30/2024","1,407.00","1,400.00","1,452.00","1,382.50","15.88M","-3.07%"
"10/29/2024","1,451.50","1,453.00","1,462.00","1,449.50","9.47M","-0.03%"
"10/28/2024","1,452.00","1,440.00","1,456.50","1,431.50","11.47M","0.24%"
"10/25/2024","1,448.50","1,448.00","1,452.50","1,435.00","6.75M","-0.48%"
"10/24/2024","1,455.50","1,457.50","1,462.50","1,449.50","6.55M","0.52%"
"10/23/2024","1,448.00","1,454.00","1,463.00","1,444.50","5.51M","-0.38%"
"10/22/2024","1,453.50","1,458.50","1,464.00","1,447.00","4.82M","-0.72%"
"10/21/2024","1,464.00","1,474.00","1,477.00","1,461.50","4.10M","-0.81%"
"10/18/2024","1,476.00","1,489.50","1,499.50","1,465.50","12.30M","-1.37%"
"10/17/2024","1,496.50","1,504.50","1,505.00","1,491.50","5.83M","0.03%"
"10/16/2024","1,496.00","1,491.50","1,504.00","1,484.50","6.60M","0.13%"
"10/15/2024","1,494.00","1,494.00","1,501.00","1,479.50","8.58M","-0.03%"
"10/14/2024","1,494.50","1,483.00","1,501.00","1,482.50","8.34M","0.98%"
"10/11/2024","1,480.00","1,494.00","1,503.00","1,477.50","8.86M","-1.66%"
"10/10/2024","1,505.00","1,559.50","1,559.50","1,500.00","18.07M","3.22%"
"10/09/2024","1,458.00","1,447.00","1,460.00","1,441.50","8.11M","0.34%"
"10/08/2024","1,453.00","1,471.50","1,481.00","1,446.50","7.71M","-1.82%"
"10/07/2024","1,480.00","1,470.00","1,488.50","1,466.00","9.31M","1.40%"
"10/04/2024","1,459.50","1,456.00","1,462.00","1,439.00","7.53M","-0.07%"
"10/03/2024","1,460.50","1,487.00","1,489.50","1,456.00","7.68M","-2.34%"
"10/02/2024","1,495.50","1,514.00","1,517.00","1,495.00","8.88M","-1.71%"
"10/01/2024","1,521.50","1,510.00","1,523.00","1,488.00","7.21M","0.33%"
"09/30/2024","1,516.50","1,526.00","1,535.50","1,514.00","6.97M","-1.33%"
"09/27/2024","1,537.00","1,525.00","1,541.50","1,524.00","5.89M","0.99%"
"09/26/2024","1,522.00","1,527.00","1,538.50","1,513.00","7.04M","-0.33%"
"09/25/2024","1,527.00","1,532.50","1,536.50","1,520.00","5.84M","-0.23%"
"09/24/2024","1,530.50","1,528.00","1,532.50","1,513.50","7.34M","0.20%"
"09/23/2024","1,527.50","1,525.00","1,542.00","1,522.50","8.65M","-0.55%"
"09/20/2024","1,536.00","1,558.00","1,566.50","1,534.50","15.43M","-2.45%"
"09/19/2024","1,574.50","1,605.50","1,608.50","1,557.00","7.76M","-1.84%"
"09/18/2024","1,604.00","1,605.00","1,612.00","1,595.50","19.85M","-0.34%"
"09/17/2024","1,609.50","1,645.00","1,649.00","1,607.00","5.67M","-1.38%"
"09/16/2024","1,632.00","1,628.00","1,634.00","1,620.00","","-0.09%"
"09/13/2024","1,633.50","1,625.50","1,640.00","1,624.50","4.64M","-0.31%"
"09/12/2024","1,638.50","1,664.50","1,667.00","1,638.50","9.14M","-0.97%"
"09/11/2024","1,654.50","1,656.00","1,675.00","1,653.00","7.36M","-0.99%"
"09/10/2024","1,671.00","1,663.50","1,678.00","1,656.50","5.94M","0.45%"
"09/09/2024","1,663.50","1,665.00","1,667.50","1,651.50","4.54M","0.73%"
"09/06/2024","1,651.50","1,635.00","1,660.00","1,632.50","5.82M","0.76%"
"09/05/2024","1,639.00","1,668.00","1,671.00","1,634.50","6.57M","-1.50%"
